plot,true_genres,predicted_genres
"[""Young Ivan Drago's newfound love of board games catapults him into the fantastical and competitive world of game invention, and pits him against the inventor Morodian, who has long desired to destroy the city of Zyl, founded by Ivan's grandfather. To save his family and defeat Morodian, Ivan must come to know what it is to be a true Games Maker.::Anonymous"", 'An amazing story full of surprises starts when the little Ivan DragÃ³ (David Mazouz), wins a contest with ""Grand Prize"" turns out to be a simple transfer; the indelible mark will be linked to a destiny of intrigue and adventure. The enigma of a missin puzzle.. dark suspicions concerning to our protagonist parent\'s accident, the bad Morodian (Joseph Fiennes) whose true identity and real intentions are yet to discover.. all mysteries that can only be unveiled behind the walls of the Profound Games Company, beyond which Ivan must venture to resolve the greatest challenge of his life: to become a true ""Games Maker"".']","Adventure, Family","Adventure, Comedy"
"[""Two neighbors, a persecuted journalist and a resigned housewife, meet during Hitler's visit to Italy in May 1938.::alogigi"", ""It's the late 1930's Rome. It's a national holiday in Italy today for the first state visit of Adolf Hitler to the country. The occasion is being marked by a lavish parade with both Hitler and Benito Mussolini to celebrate their political friendship/alliance in the name of fascism. Most of the Roman populace will attend the parade to celebrate with their leader. Two that will not be are the following. Antonietta Taberi, who would have liked to have gone to the parade, has to stay at home to attend to her domestic chores in duty to her husband Emanuele and their six children, all who have gone to the parade without her. Gabriele is a former announcer on Italian Public Radio. Despite living in the same apartment complex (Gabriele only for the last two months) with their apartment windows facing each other across the courtyard, Antonietta and Gabriele meet for the first time today in Antonietta's need to access his apartment to retrieve her escaped myna bird. Their encounter is important to both of them if only for this one day. It takes Antonietta out of her humdrum life, where she is unappreciated and taken for granted by her family, her husband who she does not truly love. And Antonietta's arrival halts what Gabriele was contemplating doing in light of the reason behind he not wanting to go to the parade and he no longer working as a radio announcer, that act which would replace the alternative of what will be happening to him later in the day.::Huggo"", 'On May 6, 1938, as a massive and ecstatic populace swarms to Rome to attend the ceremony for the historic meeting between the powerful Adolf Hitler and Benito Mussolini, the Italian Prime Minister or ""Il Duce"", Antonietta and Gabriele, two lonely residents of a run-down tenement building, have a chance encounter. She is an indefatigable housewife and a loyal Mussolini supporter; he is a recently-fired radio broadcaster and her charming next-door neighbour--two unlikely companions united by an invisible thread of repression, on a truly exceptional day. In the end, can those two absolute strangers share more in common than they imagined?::Nick Riganas', 'The film is set during the late 1930s: the occasion is the meeting between Mussolini and Hitler in Rome. Left alone in her tenement home when her fascist husband runs off to attend the historic event, Sophia Loren strikes up a friendship with her mysterious neighbor Mastroianni. As the day segues into night, Loren and Mastroianni develop a very special relationship that will radically alter both of their outlooks on life.']",Drama,Drama
"['Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.::Miss W J Mcdermott', ""Ever since the dawn of time, the Minions have lived to serve the most despicable of masters. From the T-Rex to Napoleon, the easily distracted tribe has helped the biggest and the baddest of villains. Now, join protective leader Kevin, teenage rebel Stuart, and lovable little Bob on a global road trip. They'll earn a shot to work for a new boss, the world's first female supervillain, and try to save all of Minionkind from annihilation.::Universal Pictures"", 'The ""revolutionary"" minions: Kevin- the leader, Stuart- the rebel and Bob- their lovable little brother left the ""Minion Tribes""- which have served their ex-masters, from the famous dinosaur T-Rex to Napoleon the Great; and went seeking for a new ""master"". Finally, their journey ends in London after being recruited by a female super villain named Scarlet Overkill and her husband Herb in Orlando, who wanted to rule the world. Now, the three minions must face a new challenge: saving all of the Minion tribes from a huge plan of Minion annihilation.::Gusde', 'Upon not being able to satisfy their core duty of serving an evil master, three minions, Stuart, Kevin & Bob set out from their Antarctica base to the USA in search of a master. By sheer chance they get to visit the Villain Con where they get a chance to impress the meanest Villain of all, Scarlett Overkill.::PipingHotViews', 'Since the origin of mankind, the minions are seeking out the most despicable master to serve. In 1968, Kevin, Stuart and Bob head to New York and Florida expecting to find a new boss while the rest of their tribe waits for them in Antarctica. They search for the evil Scarlet Overkill who travels to England with them and assigns the trio of minions to steal the Crown of the Queen. However things do not go as planned.::Claudio Carvalho, Rio de Janeiro, Brazil', 'From loud and gigantic T-Rexes to strong and hairy cavemen, and from haughty pharaohs to even the great Napoleon himself, the minuscule banana-yellow creatures known only as the ""Minions"", exist only to serve the most villainous boss they could get their hands on. However, after a long string of ill-served masters, the well-meaning but utterly inept beings will find themselves without a purpose, as an entire headless tribe must pin their hopes on three little minions, Kevin, Stuart and Bob, to discover the most despicable evil lord. Rumour has it that the infamous international villain and the first woman in the trade, Scarlet Overkill, might be the one they have been looking for all their lives; nevertheless, is she really what the minions have been waiting for?::Nick Riganas']","Adventure, Animation, Comedy, Family, Sci-Fi","Adventure, Family, Sci-Fi"
"['Olivia is a twenty-seven year old girl in an existential crisis. In life she did everything in a hurry: first love disappointment at sixteen, simultaneously with the first pregnancy and then a job (since Nadja, her mother, is a lost freak) to become an adult and responsible, to raise her two twins, Emma and Viola, and a brother who is nothing short of slacker and manipulative, Eros, who hides from everyone that he is gay.']",Comedy,"Drama, Romance"
"['A former Christian missionary, who specializes in debunking religious phenomena, investigates a small town which seems to be suffering from the 10 biblical plagues.::harpster_2004', 'The death of a child in mysterious circumstances sparks a series of events that seem to represent biblical plagues, which start occurring in, of all places, a town called ""Haven"" that is located deep in the bowels of Bible belt country in the bayous of Louisiana. A former Christian missionary turned religious phenomena debunker and her top open minded student turned personal assistant are sent to investigate.::suspicious', 'The atheistic Katherine Winter is a former Catholic missionary that lost her faith on God after losing her daughter and her husband in Sudan, sacrificed by the locals that blamed them for the long drought. Presently she investigates religious phenomena with the intent of debunking them, finding a scientific cause for the event. She is invited to go to the small town of Haven, in Louisiana, where the river turned into blood after the death of a boy. After her arrival, each of one of the ten biblical plagues happens in the location dazing Katherine, who discloses the evil secret of the dwellers.::Claudio Carvalho, Rio de Janeiro, Brazil']","Horror, Thriller","Horror, Mystery"
"[""Salvador Allende, the first democratic-socialist president elected was also my grandfather. On September 11, 1973 a right wing military coup seized my grandfather' life and government, forced us into exile and placed a repressive dictatorship in Chile for 17 years. Thirty-five years later, I return to Chile searching for Chicho- his family nickname - wishing to leave behind his iconic image and bring back images and memories of him and our family. But for my family there are also many unresolved feelings associated with him. Through my journey I feel their reluctance and discomfort but also I begin to understand the complexity of their emotions for over 40 years. The paradox between public and private deepens my search and mirrors Chilean society.""]","Documentary, Drama, History","Biography, Documentary, Drama"
"['With a plan to exact revenge on a mythical shark that killed his partner, Oceanographer Steve Zissou (Bill Murray) rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son.', ""When his partner is killed by the mysterious and possibly nonexistent Jaguar Shark, Steve Zissou (Bill Murray) and his Team Zissou crew set off for an expedition to hunt down the creature. Along with his estranged wife, a beautiful journalist and a co-pilot who could possibly be Zissou's son, the crew set off for one wild expedition.::FilmFanUK"", 'Fifty-three year old Steve Zissou (Bill Murray) is a famed oceanographer and documentarian, this work which he does with his loyal crew known as Team Zissou. His career, however, has been going downhill, he not having had a hit movie in the last nine years, which is making him think his next film will be his last, something he has not confirmed publicly. He has just released part 1 of that film, ""The Jaguar Shark"". The title derived from an incident on what was his most ambitious expedition to date, where his professional partner and best friend of twenty-seven years, Esteban du Plantier (Seymour Cassel), was eaten alive by a ten meter long creature, which Steve had never seen before, but what he refers to as a jaguar shark. Because only Steve saw the creature and what happened to Esteban, some question if the creature truly exists and if Steve is making up the story. Regardless, Steve plans as part 2 of the documentary finding and destroying the creature that killed his friend. Three people who have never sailed with Steve will be joining the Team on this expedition: Bill Ubell (Bud Cort), his bond company\'s ""stooge""; single, but pregnant reporter Jane Winslett-Richardson (Cate Blanchett), whose presence is important if only because Steve does care what the world thinks about him, despite often doing unlikable things; and Ned Plimpton (Owen Wilson), who works as a pilot for a backwater airline, and who the two believe may be Steve\'s biological son from a previous relationship. Despite Ned acknowledging that he is not a strong swimmer, he accepts Steve\'s offer to be an official member of the Team, which does not sit well with Team engineer Klaus Daimler (Willem Dafoe), who has always viewed himself as the son Steve never had. One Team member who will not be going along is Steve\'s wife, Eleanor Zissou (Anjelica Huston), who Steve refers to as a ""rich bitch"", who was once married to Steve\'s arch oceanography nemesis Alistair Hennessey (Jeff Goldblum), and who Steve will admit off the record is the true brains behind the operation. She views this expedition as reckless. Steve being able to focus on the mission at hand takes some turns based on other hazards of the sea, and the interactions between Steve, Ned and Jane, which adds complexity to their confined environment.::Huggo', ""Steve Zissou (Bill Murray), sea-film auteur Ã  la Jacques Cousteau, has reason to be melancholy: his partner has been eaten, perhaps by a mythic jaguar shark, his wife may be taking up with her ex-husband, a young man appears claiming Steve is his father (Steve hates fathers), his most recent films have tanked, he's having trouble raising money for his venture to avenge his partner, and he's attracted to a pregnant reporter who prefers the pretender. At sea, in pursuit of the shark, will he escape pirates and mutiny, forge the bonds of fatherhood, place his arm around his wife, find the monster of the deep, re-establish box-office hegemony, and discover a reason to smile?::<jhailey@hotmail.com>"", 'While making a documentary, famous oceanographer Steve Zissou (Bill Murray) loses his dear friend, eaten by a jaguar shark. He raises funds for an expedition in his ship, the ""Belafonte"", to hunt the shark and make a new film. Journalist Jane Winslett-Richardson (Cate Blanchett) and a pilot that claims to be his unknown son, Ned Plimpton (Owen Wilson), join his crew in their journey, planned by his wife Eleanor Zissou (Anjelica Huston).::Claudio Carvalho, Rio de Janeiro, Brazil']","Action, Adventure, Comedy, Drama, Romance","Adventure, Thriller"
"[""The son of a reputable physician struggles to live up to other people's expectations of him, until one day he is confronted by people who appear to die time and again.::Milcho Manchevski"", ""Lazar is young, good-looking, has a beautiful wife, lovely little boy, great house and a good job as a hospital physician. In fact, everyone calls him Lucky. Nothing's missing - except maybe Lucky himself. When he is involved in a disastrous car crash and mysteriously saved from a sure death, his life begins to change as he is confronted by a series of people who appear to die time and again.::Milcho Manchevski""]","Drama, Horror, Mystery, Thriller",Drama
"[""A family's home is haunted by a host of demonic ghosts.::Kenneth Chisholm"", 'A young family are visited by ghosts in their home. At first the ghosts appear friendly, moving objects around the house to the amusement of everyone, then they turn nasty and start to terrorise the family before they ""kidnap"" the youngest daughter.::Rob Hartill', ""The Freelings are a typical suburban family. Husband Steve sells real estate in their ever expanding subdivision and Diane is a stay at home mom caring for their three kids, Dana, Robbie and little Carol Anne. Strange things being to happen in the house however: cupboard doors open on their own, furniture rearranges itself and chairs go sliding across the kitchen floor. It's a bit of whimsy at first but soon becomes deadly serious when Carol Anne vanishes into a nether world where, oddly, she can only be communicated with through the white noise on their television. A team of paranormal investigators move into the house but the forces that kidnapped are evil and powerful requiring the services of Tangina, a woman who has dealt with this situation before.::garykmcd"", ""Life is very pleasant for the close-knit Freeling family until a host of otherworldly forces invades their peaceful suburban home. It starts with just an odd occurrence or two, but soon their house is turned into a swirling supernatural sideshow. The forces at work are anything but friendly, and if the luckless Freelings don't clear out soon, they'll all be swept off into nightmarish chaos!::Anonymous"", ""Craig T. Nelson stars as Steve Freeling, the main protagonist, who lives with his wife, Diane, (JoBeth Williams) and their three children, Dana (Dominique Dunne), Robbie (Oliver Robins), and Carol Anne (Heather O'Rourke), in Southern California where he sells houses for the company that built the neighborhood. It starts with just a few odd occurrences, such as broken dishes and furniture moving around by itself. However, a tree comes alive and takes Robbie through his bedroom window, and Carol Anne is abducted by ghosts. Realizing that something evil haunts his home, Steve calls in a team of parapsychologists led by Dr. Lesh (Beatrice Straight) to investigate, hoping to get Carol Anne back, so he can remove his family from the house before it's too late."", ""While living an an average family house in a pleasant neighborhood, the youngest daughter of the Freeling family, Carol Anne, seems to be connecting with the supernatural through a dead channel on the television. It is not for long when the mysterious beings enter the house's walls. At first seeming like harmless ghosts, they play tricks and amuse the family, but they take a nasty turn- they horrify the family to death with angry trees and murderous dolls, and finally abduct Carol Anne into her bedroom closet, which seems like the entrance to the other side.::Thomas O'Rourke""]","Horror, Thriller",Horror
"[""Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.::Anonymous"", 'U.S. Army Private Witt (AWOL) is found and imprisoned on a troop carrier by his company First Sergeant, Welsh.The men of C Company,1st Battalion,27th Infantry Regiment,25th Infantry Division have been brought to Guadalcanal as reinforcements in the campaign to secure Henderson Field and seize the island from the Japanese. They arrive near Hill 210, a key Japanese position. Their task is to capture the hill at all cost. What happens next is a story developing about redemption and the meaningless of war. Regardless the outcome.::Frank Liesenborgs', 'In World War II, the outcome of the battle of Guadalcanal will strongly influence the Japanese advance into the Pacific theater. A group of young soldiers are brought in as a relief for the battle-weary Marines. The exhausting fight for a strategically-positioned airfield that allows control over a 1000-mile radius puts the men of the Army rifle company C-for-Charlie through hell. The horrors of war form the soldiers into a tight-knit group; their emotions develop into bonds of love and even family. The reasons for this war get further away as the world for the men gets smaller and smaller until their fighting is for mere survival and the life of the other men with them.::Julian Reischl <julianreischl@mac.com>', 'In 1943, the first major U.S. offensive of World War II is drawing to a close on the South Pacific island of Guadalcanal. To put an end to this campaign, the United States Army arrives with a full division of troops and equipment, deployed to break the last resistence of the Japanese. The exploits of this Division are seen from a number of perspectives amongst the soldiers; to include a war weary Sergeant, a power hungry Colonel, a Private who has known only desertion and AWOL, and a Company Commander is struggling with his abilities as a leader.::Anthony Hughes <husnock31@hotmail.com>']","Drama, War","Drama, War"
